membership_fee_eur,bulk_discount,break_even_monthly_spend_eur
20,0.04,42.583333333333336
20,0.04631578947368421,36.77651515151515
20,0.05263157894736842,32.36333333333334
20,0.05894736842105263,28.89583333333334
20,0.06526315789473684,26.099462365591396
20,0.07157894736842105,23.796568627450984
20,0.07789473684210527,21.867117117117118
20,0.08421052631578947,20.227083333333336
20,0.09052631578947368,18.81589147286822
20,0.0968421052631579,17.588768115942027
20,0.10315789473684212,16.511904761904763
20,0.1094736842105263,15.559294871794874
20,0.11578947368421053,14.710606060606061
20,0.12210526315789474,13.949712643678161
20,0.12842105263157894,13.263661202185794
20,0.13473684210526315,12.641927083333334
20,0.14105263157894737,12.07587064676617
20,0.14736842105263157,11.558333333333335
20,0.15368421052631578,11.083333333333334
20,0.16,10.645833333333334
35,0.04,74.52083333333334
35,0.04631578947368421,64.35890151515152
35,0.05263157894736842,56.635833333333345
35,0.05894736842105263,50.56770833333334
35,0.06526315789473684,45.67405913978495
35,0.07157894736842105,41.64399509803922
35,0.07789473684210527,38.26745495495496
35,0.08421052631578947,35.39739583333334
35,0.09052631578947368,32.92781007751939
35,0.0968421052631579,30.78034420289855
35,0.10315789473684212,28.895833333333332
35,0.1094736842105263,27.228766025641033
35,0.11578947368421053,25.74356060606061
35,0.12210526315789474,24.411997126436784
35,0.12842105263157894,23.21140710382514
35,0.13473684210526315,22.12337239583334
35,0.14105263157894737,21.132773631840795
35,0.14736842105263157,20.227083333333336
35,0.15368421052631578,19.395833333333336
35,0.16,18.630208333333336
50,0.04,106.45833333333333
50,0.04631578947368421,91.94128787878788
50,0.05263157894736842,80.90833333333335
50,0.05894736842105263,72.23958333333333
50,0.06526315789473684,65.2486559139785
50,0.07157894736842105,59.49142156862746
50,0.07789473684210527,54.667792792792795
50,0.08421052631578947,50.567708333333336
50,0.09052631578947368,47.03972868217054
50,0.0968421052631579,43.97192028985507
50,0.10315789473684212,41.279761904761905
50,0.1094736842105263,38.89823717948718
50,0.11578947368421053,36.77651515151515
50,0.12210526315789474,34.8742816091954
50,0.12842105263157894,33.15915300546448
50,0.13473684210526315,31.604817708333332
50,0.14105263157894737,30.18967661691542
50,0.14736842105263157,28.89583333333334
50,0.15368421052631578,27.708333333333332
50,0.16,26.614583333333332
65,0.04,138.39583333333334
65,0.04631578947368421,119.52367424242425
65,0.05263157894736842,105.18083333333335
65,0.05894736842105263,93.91145833333336
65,0.06526315789473684,84.82325268817205
65,0.07157894736842105,77.3388480392157
65,0.07789473684210527,71.06813063063063
65,0.08421052631578947,65.73802083333334
65,0.09052631578947368,61.151647286821714
65,0.0968421052631579,57.1634963768116
65,0.10315789473684212,53.663690476190474
65,0.1094736842105263,50.56770833333334
65,0.11578947368421053,47.8094696969697
65,0.12210526315789474,45.33656609195402
65,0.12842105263157894,43.10689890710383
65,0.13473684210526315,41.086263020833336
65,0.14105263157894737,39.24657960199006
65,0.14736842105263157,37.56458333333334
65,0.15368421052631578,36.020833333333336
65,0.16,34.598958333333336
80,0.04,170.33333333333334
80,0.04631578947368421,147.1060606060606
80,0.05263157894736842,129.45333333333335
80,0.05894736842105263,115.58333333333336
80,0.06526315789473684,104.39784946236558
80,0.07157894736842105,95.18627450980394
80,0.07789473684210527,87.46846846846847
80,0.08421052631578947,80.90833333333335
80,0.09052631578947368,75.26356589147288
80,0.0968421052631579,70.35507246376811
80,0.10315789473684212,66.04761904761905
80,0.1094736842105263,62.237179487179496
80,0.11578947368421053,58.842424242424244
80,0.12210526315789474,55.798850574712645
80,0.12842105263157894,53.05464480874318
80,0.13473684210526315,50.567708333333336
80,0.14105263157894737,48.30348258706468
80,0.14736842105263157,46.23333333333334
80,0.15368421052631578,44.333333333333336
80,0.16,42.583333333333336
95,0.04,202.27083333333334
95,0.04631578947368421,174.68844696969697
95,0.05263157894736842,153.72583333333336
95,0.05894736842105263,137.25520833333334
95,0.06526315789473684,123.97244623655915
95,0.07157894736842105,113.03370098039217
95,0.07789473684210527,103.8688063063063
95,0.08421052631578947,96.07864583333334
95,0.09052631578947368,89.37548449612405
95,0.0968421052631579,83.54664855072464
95,0.10315789473684212,78.4315476190476
95,0.1094736842105263,73.90665064102565
95,0.11578947368421053,69.87537878787879
95,0.12210526315789474,66.26113505747126
95,0.12842105263157894,63.00239071038252
95,0.13473684210526315,60.049153645833336
95,0.14105263157894737,57.36038557213931
95,0.14736842105263157,54.90208333333334
95,0.15368421052631578,52.645833333333336
95,0.16,50.567708333333336
